cat,item,cue,color,presented,corrAns
DER,FRENDER,R,green,old,1
DER,TRENDER,R,green,old,1
DER,NENDER,R,green,old,1
DER,DENDER,R,green,old,1
DER,WENDER,R,green,old,1
DER,HENDER,R,green,old,1
DER,SHENDER,R,green,new,2
DER,SNENDER,R,green,new,2
DER,KLENDER,R,green,new,2
KTO,JESKTO,R,green,old,1
KTO,PLESKTO,R,green,old,1
KTO,MESKTO,R,green,old,1
KTO,KLESKTO,R,green,old,1
KTO,SHESKTO,R,green,old,1
KTO,PRESKTO,R,green,old,1
KTO,SNESKTO,R,green,new,2
KTO,GRESKTO,R,green,new,2
KTO,TRESKTO,R,green,new,2
TER,CRUTER,R,green,old,1
TER,SNUTER,R,green,old,1
TER,KLUTER,R,green,old,1
TER,DRUTER,R,green,old,1
TER,HUTER,R,green,old,1
TER,PLUTER,R,green,old,1
TER,BRUTER,R,green,new,2
TER,VUTER,R,green,new,2
TER,FRUTER,R,green,new,2
GIN,MIGIN,R,green,old,1
GIN,TRIGIN,R,green,old,1
GIN,PRIGIN,R,green,old,1
GIN,KIGIN,R,green,old,1
GIN,DRIGIN,R,green,old,1
GIN,DIGIN,R,green,old,1
GIN,HIGIN,R,green,new,2
GIN,SNIGIN,R,green,new,2
GIN,TIGIN,R,green,new,2
LKY,PLALKY,R,green,old,1
LKY,GALKY,R,green,old,1
LKY,PHALKY,R,green,old,1
LKY,VALKY,R,green,old,1
LKY,KLALKY,R,green,old,1
LKY,FLALKY,R,green,old,1
LKY,KRALKY,R,green,new,2
LKY,PRALKY,R,green,new,2
LKY,BLALKY,R,green,new,2
OOM,FLOOM,R,green,old,1
OOM,KLOOM,R,green,old,1
OOM,KROOM,R,green,old,1
OOM,FROOM,R,green,old,1
OOM,SNOOM,R,green,old,1
OOM,TROOM,R,green,old,1
OOM,DROOM,R,green,new,2
OOM,MOOM,R,green,new,2
OOM,VOOM,R,green,new,2
VAL,PHUVAL,F,red,old,1
VAL,KRUVAL,F,red,old,1
VAL,SWUVAL,F,red,old,1
VAL,PRUVAL,F,red,old,1
VAL,BUVAL,F,red,old,1
VAL,NUVAL,F,red,old,1
VAL,ZUVAL,F,red,new,2
VAL,HUVAL,F,red,new,2
VAL,TRUVAL,F,red,new,2
ECK,FRECK,F,red,old,1
ECK,BRECK,F,red,old,1
ECK,CRECK,F,red,old,1
ECK,SNECK,F,red,old,1
ECK,SECK,F,red,old,1
ECK,TRECK,F,red,old,1
ECK,TECK,F,red,new,2
ECK,BLECK,F,red,new,2
ECK,WECK,F,red,new,2
ISE,TAISE,F,red,old,1
ISE,KLAISE,F,red,old,1
ISE,ZAISE,F,red,old,1
ISE,TRAISE,F,red,old,1
ISE,SAISE,F,red,old,1
ISE,PAISE,F,red,old,1
ISE,VAISE,F,red,new,2
ISE,JAISE,F,red,new,2
ISE,SNAISE,F,red,new,2
TIC,WENTIC,F,red,old,1
TIC,TENTIC,F,red,old,1
TIC,FLENTIC,F,red,old,1
TIC,PRENTIC,F,red,old,1
TIC,BRENTIC,F,red,old,1
TIC,CLENTIC,F,red,old,1
TIC,TRENTIC,F,red,new,2
TIC,KLENTIC,F,red,new,2
TIC,CRENTIC,F,red,new,2
IME,DRIME,F,red,old,1
IME,FRIME,F,red,old,1
IME,SWIME,F,red,old,1
IME,SIME,F,red,old,1
IME,BIME,F,red,old,1
IME,VIME,F,red,old,1
IME,KRIME,F,red,new,2
IME,PIME,F,red,new,2
IME,BRIME,F,red,new,2
WEN,KROWEN,F,red,old,1
WEN,GROWEN,F,red,old,1
WEN,FROWEN,F,red,old,1
WEN,CLOWEN,F,red,old,1
WEN,TROWEN,F,red,old,1
WEN,POWEN,F,red,old,1
WEN,TOWEN,F,red,new,2
WEN,SWOWEN,F,red,new,2
WEN,KOWEN,F,red,new,2
QUE,NIQUE,New,None,new,2
QUE,PLIQUE,New,None,new,2
QUE,FLIQUE,New,None,new,2
ION,PLATION,New,None,new,2
ION,GATION,New,None,new,2
ION,SNATION,New,None,new,2
AZY,ZAZY,New,None,new,2
AZY,KAZY,New,None,new,2
AZY,PAZY,New,None,new,2
USS,CLUSS,New,None,new,2
USS,GRUSS,New,None,new,2
USS,KUSS,New,None,new,2
TOP,CRATOP,New,None,new,2
TOP,FRATOP,New,None,new,2
TOP,DATOP,New,None,new,2
ORD,ZORD,New,None,new,2
ORD,FLORD,New,None,new,2
ORD,KORD,New,None,new,2
GLE,CREAGLE,New,None,new,2
GLE,FLEAGLE,New,None,new,2
GLE,ZEAGLE,New,None,new,2
MME,ZUMME,New,None,new,2
MME,PUMME,New,None,new,2
MME,WUMME,New,None,new,2
LOR,PROLOR,New,None,new,2
LOR,FROLOR,New,None,new,2
LOR,TOLOR,New,None,new,2
EDI,PLEDI,New,None,new,2
EDI,PHEDI,New,None,new,2
EDI,KLEDI,New,None,new,2
FFY,GRIFFY,New,None,new,2
FFY,BLIFFY,New,None,new,2
FFY,ZIFFY,New,None,new,2
PTE,SAPTE,New,None,new,2
PTE,BAPTE,New,None,new,2
PTE,BLAPTE,New,None,new,2
