cat,item,cue,color,presented,corrAns
DER,FRENDER,F,red,old,1
DER,TRENDER,F,red,old,1
DER,NENDER,F,red,old,1
DER,DENDER,F,red,old,1
DER,WENDER,F,red,old,1
DER,HENDER,F,red,old,1
DER,SHENDER,F,red,new,2
DER,SNENDER,F,red,new,2
DER,KLENDER,F,red,new,2
KTO,JESKTO,F,red,old,1
KTO,PLESKTO,F,red,old,1
KTO,MESKTO,F,red,old,1
KTO,KLESKTO,F,red,old,1
KTO,SHESKTO,F,red,old,1
KTO,PRESKTO,F,red,old,1
KTO,SNESKTO,F,red,new,2
KTO,GRESKTO,F,red,new,2
KTO,TRESKTO,F,red,new,2
TER,CRUTER,F,red,old,1
TER,SNUTER,F,red,old,1
TER,KLUTER,F,red,old,1
TER,DRUTER,F,red,old,1
TER,HUTER,F,red,old,1
TER,PLUTER,F,red,old,1
TER,BRUTER,F,red,new,2
TER,VUTER,F,red,new,2
TER,FRUTER,F,red,new,2
GIN,MIGIN,F,red,old,1
GIN,TRIGIN,F,red,old,1
GIN,PRIGIN,F,red,old,1
GIN,KIGIN,F,red,old,1
GIN,DRIGIN,F,red,old,1
GIN,DIGIN,F,red,old,1
GIN,HIGIN,F,red,new,2
GIN,SNIGIN,F,red,new,2
GIN,TIGIN,F,red,new,2
LKY,PLALKY,F,red,old,1
LKY,GALKY,F,red,old,1
LKY,PHALKY,F,red,old,1
LKY,VALKY,F,red,old,1
LKY,KLALKY,F,red,old,1
LKY,FLALKY,F,red,old,1
LKY,KRALKY,F,red,new,2
LKY,PRALKY,F,red,new,2
LKY,BLALKY,F,red,new,2
OOM,FLOOM,F,red,old,1
OOM,KLOOM,F,red,old,1
OOM,KROOM,F,red,old,1
OOM,FROOM,F,red,old,1
OOM,SNOOM,F,red,old,1
OOM,TROOM,F,red,old,1
OOM,DROOM,F,red,new,2
OOM,MOOM,F,red,new,2
OOM,VOOM,F,red,new,2
VAL,PHUVAL,R,green,old,1
VAL,KRUVAL,R,green,old,1
VAL,SWUVAL,R,green,old,1
VAL,PRUVAL,R,green,old,1
VAL,BUVAL,R,green,old,1
VAL,NUVAL,R,green,old,1
VAL,ZUVAL,R,green,new,2
VAL,HUVAL,R,green,new,2
VAL,TRUVAL,R,green,new,2
ECK,FRECK,R,green,old,1
ECK,BRECK,R,green,old,1
ECK,CRECK,R,green,old,1
ECK,SNECK,R,green,old,1
ECK,SECK,R,green,old,1
ECK,TRECK,R,green,old,1
ECK,TECK,R,green,new,2
ECK,BLECK,R,green,new,2
ECK,WECK,R,green,new,2
ISE,TAISE,R,green,old,1
ISE,KLAISE,R,green,old,1
ISE,ZAISE,R,green,old,1
ISE,TRAISE,R,green,old,1
ISE,SAISE,R,green,old,1
ISE,PAISE,R,green,old,1
ISE,VAISE,R,green,new,2
ISE,JAISE,R,green,new,2
ISE,SNAISE,R,green,new,2
TIC,WENTIC,R,green,old,1
TIC,TENTIC,R,green,old,1
TIC,FLENTIC,R,green,old,1
TIC,PRENTIC,R,green,old,1
TIC,BRENTIC,R,green,old,1
TIC,CLENTIC,R,green,old,1
TIC,TRENTIC,R,green,new,2
TIC,KLENTIC,R,green,new,2
TIC,CRENTIC,R,green,new,2
IME,DRIME,R,green,old,1
IME,FRIME,R,green,old,1
IME,SWIME,R,green,old,1
IME,SIME,R,green,old,1
IME,BIME,R,green,old,1
IME,VIME,R,green,old,1
IME,KRIME,R,green,new,2
IME,PIME,R,green,new,2
IME,BRIME,R,green,new,2
WEN,KROWEN,R,green,old,1
WEN,GROWEN,R,green,old,1
WEN,FROWEN,R,green,old,1
WEN,CLOWEN,R,green,old,1
WEN,TROWEN,R,green,old,1
WEN,POWEN,R,green,old,1
WEN,TOWEN,R,green,new,2
WEN,SWOWEN,R,green,new,2
WEN,KOWEN,R,green,new,2
QUE,NIQUE,New,None,new,2
QUE,PLIQUE,New,None,new,2
QUE,FLIQUE,New,None,new,2
ION,PLATION,New,None,new,2
ION,GATION,New,None,new,2
ION,SNATION,New,None,new,2
AZY,ZAZY,New,None,new,2
AZY,KAZY,New,None,new,2
AZY,PAZY,New,None,new,2
USS,CLUSS,New,None,new,2
USS,GRUSS,New,None,new,2
USS,KUSS,New,None,new,2
TOP,CRATOP,New,None,new,2
TOP,FRATOP,New,None,new,2
TOP,DATOP,New,None,new,2
ORD,ZORD,New,None,new,2
ORD,FLORD,New,None,new,2
ORD,KORD,New,None,new,2
GLE,CREAGLE,New,None,new,2
GLE,FLEAGLE,New,None,new,2
GLE,ZEAGLE,New,None,new,2
MME,ZUMME,New,None,new,2
MME,PUMME,New,None,new,2
MME,WUMME,New,None,new,2
LOR,PROLOR,New,None,new,2
LOR,FROLOR,New,None,new,2
LOR,TOLOR,New,None,new,2
EDI,PLEDI,New,None,new,2
EDI,PHEDI,New,None,new,2
EDI,KLEDI,New,None,new,2
FFY,GRIFFY,New,None,new,2
FFY,BLIFFY,New,None,new,2
FFY,ZIFFY,New,None,new,2
PTE,SAPTE,New,None,new,2
PTE,BAPTE,New,None,new,2
PTE,BLAPTE,New,None,new,2
