cat,item,cue,color,presented,corrAns
QUE,NIQUE,F,red,old,1
QUE,PLIQUE,F,red,old,1
QUE,FLIQUE,F,red,old,1
QUE,FRIQUE,F,red,old,1
QUE,SHIQUE,F,red,old,1
QUE,ZIQUE,F,red,old,1
QUE,JIQUE,F,red,new,2
QUE,WIQUE,F,red,new,2
QUE,BRIQUE,F,red,new,2
ION,PLATION,F,red,old,1
ION,GATION,F,red,old,1
ION,SNATION,F,red,old,1
ION,FRATION,F,red,old,1
ION,KATION,F,red,old,1
ION,GRATION,F,red,old,1
ION,BRATION,F,red,new,2
ION,KRATION,F,red,new,2
ION,JATION,F,red,new,2
AZY,ZAZY,F,red,old,1
AZY,KAZY,F,red,old,1
AZY,PAZY,F,red,old,1
AZY,GRAZY,F,red,old,1
AZY,PLAZY,F,red,old,1
AZY,PRAZY,F,red,old,1
AZY,BAZY,F,red,new,2
AZY,WAZY,F,red,new,2
AZY,FRAZY,F,red,new,2
USS,CLUSS,F,red,old,1
USS,GRUSS,F,red,old,1
USS,KUSS,F,red,old,1
USS,PRUSS,F,red,old,1
USS,ZUSS,F,red,old,1
USS,DRUSS,F,red,old,1
USS,NUSS,F,red,new,2
USS,KRUSS,F,red,new,2
USS,FLUSS,F,red,new,2
TOP,CRATOP,F,red,old,1
TOP,FRATOP,F,red,old,1
TOP,DATOP,F,red,old,1
TOP,TRATOP,F,red,old,1
TOP,SNATOP,F,red,old,1
TOP,DRATOP,F,red,old,1
TOP,VATOP,F,red,new,2
TOP,SATOP,F,red,new,2
TOP,TATOP,F,red,new,2
ORD,ZORD,F,red,old,1
ORD,FLORD,F,red,old,1
ORD,KORD,F,red,old,1
ORD,DORD,F,red,old,1
ORD,TRORD,F,red,old,1
ORD,JORD,F,red,old,1
ORD,MORD,F,red,new,2
ORD,PLORD,F,red,new,2
ORD,CRORD,F,red,new,2
GLE,CREAGLE,R,green,old,1
GLE,FLEAGLE,R,green,old,1
GLE,ZEAGLE,R,green,old,1
GLE,KLEAGLE,R,green,old,1
GLE,SWEAGLE,R,green,old,1
GLE,TREAGLE,R,green,old,1
GLE,PLEAGLE,R,green,new,2
GLE,GREAGLE,R,green,new,2
GLE,PREAGLE,R,green,new,2
MME,ZUMME,R,green,old,1
MME,PUMME,R,green,old,1
MME,WUMME,R,green,old,1
MME,KLUMME,R,green,old,1
MME,TRUMME,R,green,old,1
MME,GRUMME,R,green,old,1
MME,DUMME,R,green,new,2
MME,KRUMME,R,green,new,2
MME,SWUMME,R,green,new,2
LOR,PROLOR,R,green,old,1
LOR,FROLOR,R,green,old,1
LOR,TOLOR,R,green,old,1
LOR,DROLOR,R,green,old,1
LOR,JOLOR,R,green,old,1
LOR,SWOLOR,R,green,old,1
LOR,GROLOR,R,green,new,2
LOR,PHOLOR,R,green,new,2
LOR,CROLOR,R,green,new,2
EDI,PLEDI,R,green,old,1
EDI,PHEDI,R,green,old,1
EDI,KLEDI,R,green,old,1
EDI,SHEDI,R,green,old,1
EDI,KEDI,R,green,old,1
EDI,BREDI,R,green,old,1
EDI,HEDI,R,green,new,2
EDI,TEDI,R,green,new,2
EDI,NEDI,R,green,new,2
FFY,GRIFFY,R,green,old,1
FFY,BLIFFY,R,green,old,1
FFY,ZIFFY,R,green,old,1
FFY,VIFFY,R,green,old,1
FFY,TIFFY,R,green,old,1
FFY,PRIFFY,R,green,old,1
FFY,SIFFY,R,green,new,2
FFY,TRIFFY,R,green,new,2
FFY,FRIFFY,R,green,new,2
PTE,SAPTE,R,green,old,1
PTE,BAPTE,R,green,old,1
PTE,BLAPTE,R,green,old,1
PTE,FLAPTE,R,green,old,1
PTE,SWAPTE,R,green,old,1
PTE,VAPTE,R,green,old,1
PTE,HAPTE,R,green,new,2
PTE,PRAPTE,R,green,new,2
PTE,DAPTE,R,green,new,2
DER,FRENDER,New,None,new,2
DER,TRENDER,New,None,new,2
DER,NENDER,New,None,new,2
KTO,JESKTO,New,None,new,2
KTO,PLESKTO,New,None,new,2
KTO,MESKTO,New,None,new,2
TER,CRUTER,New,None,new,2
TER,SNUTER,New,None,new,2
TER,KLUTER,New,None,new,2
GIN,MIGIN,New,None,new,2
GIN,TRIGIN,New,None,new,2
GIN,PRIGIN,New,None,new,2
LKY,PLALKY,New,None,new,2
LKY,GALKY,New,None,new,2
LKY,PHALKY,New,None,new,2
OOM,FLOOM,New,None,new,2
OOM,KLOOM,New,None,new,2
OOM,KROOM,New,None,new,2
VAL,PHUVAL,New,None,new,2
VAL,KRUVAL,New,None,new,2
VAL,SWUVAL,New,None,new,2
ECK,FRECK,New,None,new,2
ECK,BRECK,New,None,new,2
ECK,CRECK,New,None,new,2
ISE,TAISE,New,None,new,2
ISE,KLAISE,New,None,new,2
ISE,ZAISE,New,None,new,2
TIC,WENTIC,New,None,new,2
TIC,TENTIC,New,None,new,2
TIC,FLENTIC,New,None,new,2
IME,DRIME,New,None,new,2
IME,FRIME,New,None,new,2
IME,SWIME,New,None,new,2
WEN,KROWEN,New,None,new,2
WEN,GROWEN,New,None,new,2
WEN,FROWEN,New,None,new,2
